state_class,magnitude_quantizer,bits_per_magnitude,bits_per_phase,k,sample_idx,fidelity,compression_ratio
heisenberg,topk,4,4,8.0,19,0.9819475983372968,6.491283676703645
heisenberg,log,4,4,,19,0.8341013676060052,6.69281045751634
heisenberg,percentile,4,4,,19,0.988623132368095,6.408761979268531
mps_chi2,lloyd,2,2,,0,0.8226805141308927,12.337349397590362
mps_chi2,topk,2,2,8.0,0,0.8299322703457583,11.636363636363637
mps_chi2,log,2,2,,0,0.7841995249679119,12.337349397590362
mps_chi2,percentile,2,2,,0,0.8288982075508673,11.361997226074896
mps_chi2,lloyd,3,3,,0,0.9507343925795994,8.752136752136753
mps_chi2,topk,3,3,8.0,0,0.9542946045376011,8.402051282051282
mps_chi2,log,3,3,,0,0.9417691240941489,8.752136752136753
mps_chi2,percentile,3,3,,0,0.9538848525392271,8.261187444850624
mps_chi2,lloyd,4,4,,0,0.98619731351819,6.69281045751634
mps_chi2,topk,4,4,8.0,0,0.9881782493540655,6.491283676703645
mps_chi2,log,4,4,,0,0.9842365738678995,6.69281045751634
mps_chi2,percentile,4,4,,0,0.9886655325652108,6.408761979268531
mps_chi2,lloyd,2,2,,1,0.8138502870012231,12.337349397590362
mps_chi2,topk,2,2,8.0,1,0.8448927209755679,11.636363636363637
mps_chi2,log,2,2,,1,0.6727599969284974,12.337349397590362
mps_chi2,percentile,2,2,,1,0.8478829269523558,11.361997226074896
mps_chi2,lloyd,3,3,,1,0.9464371193921741,8.752136752136753
mps_chi2,topk,3,3,8.0,1,0.9618028873660268,8.402051282051282
mps_chi2,log,3,3,,1,0.8757827900445898,8.752136752136753
mps_chi2,percentile,3,3,,1,0.9629761155091104,8.261187444850624
mps_chi2,lloyd,4,4,,1,0.974700775815015,6.69281045751634
mps_chi2,topk,4,4,8.0,1,0.9856863315540401,6.491283676703645
mps_chi2,log,4,4,,1,0.9407676487112218,6.69281045751634
mps_chi2,percentile,4,4,,1,0.9848489587082246,6.408761979268531
mps_chi2,lloyd,2,2,,2,0.8246849554585,12.337349397590362
mps_chi2,topk,2,2,8.0,2,0.8362667765555182,11.636363636363637
mps_chi2,log,2,2,,2,0.7729408240566377,12.337349397590362
mps_chi2,percentile,2,2,,2,0.8380137367573443,11.361997226074896
mps_chi2,lloyd,3,3,,2,0.9538269400700878,8.752136752136753
mps_chi2,topk,3,3,8.0,2,0.9567614606216652,8.402051282051282
mps_chi2,log,3,3,,2,0.9380417851623594,8.752136752136753
mps_chi2,percentile,3,3,,2,0.958084056145144,8.261187444850624
mps_chi2,lloyd,4,4,,2,0.9857856059211403,6.69281045751634
mps_chi2,topk,4,4,8.0,2,0.9877920930221619,6.491283676703645
mps_chi2,log,4,4,,2,0.982956514526556,6.69281045751634
mps_chi2,percentile,4,4,,2,0.9881886112597917,6.408761979268531
mps_chi2,lloyd,2,2,,3,0.8319557740937662,12.337349397590362
mps_chi2,topk,2,2,8.0,3,0.8382815849750292,11.636363636363637
mps_chi2,log,2,2,,3,0.7549388943997486,12.337349397590362
