state_class,config,bits_per_magnitude,bits_per_phase,sample_idx,fidelity,compression_ratio
haar,wht_mag_phase,3,3,11,0.9420975770734922,10.24
haar,full,3,3,11,0.9564831357915496,8.752136752136753
haar,wht,4,4,11,0.9999999999999996,1.0
haar,wht_mag,4,4,11,0.998202024626146,1.7534246575342465
haar,wht_mag_phase,4,4,11,0.9855942102275539,7.529411764705882
haar,full,4,4,11,0.9890807153177377,6.69281045751634
haar,wht,2,2,12,1.0000000000000009,1.0
haar,wht_mag,2,2,12,0.9808870958870789,1.8754578754578755
haar,wht_mag_phase,2,2,12,0.795281483140397,15.515151515151516
haar,full,2,2,12,0.843556933134185,12.337349397590362
haar,wht,3,3,12,1.0000000000000009,1.0
haar,wht_mag,3,3,12,0.994368440167335,1.8156028368794326
haar,wht_mag_phase,3,3,12,0.9437853401181224,10.24
haar,full,3,3,12,0.957745373329944,8.752136752136753
haar,wht,4,4,12,1.0000000000000009,1.0
haar,wht_mag,4,4,12,0.9980548229481367,1.7534246575342465
haar,wht_mag_phase,4,4,12,0.9855696092933538,7.529411764705882
haar,full,4,4,12,0.9890424090282436,6.69281045751634
haar,wht,2,2,13,0.9999999999999991,1.0
haar,wht_mag,2,2,13,0.9781901724175623,1.8754578754578755
haar,wht_mag_phase,2,2,13,0.7890001061624105,15.515151515151516
haar,full,2,2,13,0.8402242889898891,12.337349397590362
haar,wht,3,3,13,0.9999999999999991,1.0
haar,wht_mag,3,3,13,0.9935952569469546,1.8156028368794326
haar,wht_mag_phase,3,3,13,0.9451132824751326,10.24
haar,full,3,3,13,0.958276477052517,8.752136752136753
haar,wht,4,4,13,0.9999999999999991,1.0
haar,wht_mag,4,4,13,0.9979171935196389,1.7534246575342465
haar,wht_mag_phase,4,4,13,0.9848815609054553,7.529411764705882
haar,full,4,4,13,0.9884293390412522,6.69281045751634
haar,wht,2,2,14,1.0000000000000013,1.0
haar,wht_mag,2,2,14,0.97939402268,1.8754578754578755
haar,wht_mag_phase,2,2,14,0.7965254334745285,15.515151515151516
haar,full,2,2,14,0.8440724698106106,12.337349397590362
haar,wht,3,3,14,1.0000000000000013,1.0
haar,wht_mag,3,3,14,0.9939617206540531,1.8156028368794326
haar,wht_mag_phase,3,3,14,0.9428807714312043,10.24
haar,full,3,3,14,0.9571001058655408,8.752136752136753
haar,wht,4,4,14,1.0000000000000013,1.0
haar,wht_mag,4,4,14,0.9979560997698097,1.7534246575342465
haar,wht_mag_phase,4,4,14,0.9846703038713598,7.529411764705882
haar,full,4,4,14,0.9885911826166779,6.69281045751634
haar,wht,2,2,15,1.0000000000000009,1.0
haar,wht_mag,2,2,15,0.9785788923617693,1.8754578754578755
haar,wht_mag_phase,2,2,15,0.7814334158330121,15.515151515151516
haar,full,2,2,15,0.8308525384003046,12.337349397590362
haar,wht,3,3,15,1.0000000000000009,1.0
haar,wht_mag,3,3,15,0.9940118295671101,1.8156028368794326
haar,wht_mag_phase,3,3,15,0.9444230161447998,10.24
haar,full,3,3,15,0.9571949412806461,8.752136752136753
haar,wht,4,4,15,1.0000000000000009,1.0
haar,wht_mag,4,4,15,0.9977572239792605,1.7534246575342465
haar,wht_mag_phase,4,4,15,0.9841847368860532,7.529411764705882
haar,full,4,4,15,0.9880090740693114,6.69281045751634
haar,wht,2,2,16,1.0,1.0
haar,wht_mag,2,2,16,0.9793535707268116,1.8754578754578755
haar,wht_mag_phase,2,2,16,0.7935283125264623,15.515151515151516
haar,full,2,2,16,0.8392846931564608,12.337349397590362
haar,wht,3,3,16,1.0,1.0
haar,wht_mag,3,3,16,0.9940828187581896,1.8156028368794326
haar,wht_mag_phase,3,3,16,0.943355097072094,10.24
haar,full,3,3,16,0.956887321189565,8.752136752136753
haar,wht,4,4,16,1.0,1.0
haar,wht_mag,4,4,16,0.9977617680401903,1.7534246575342465
haar,wht_mag_phase,4,4,16,0.9849899878921324,7.529411764705882
haar,full,4,4,16,0.9885022717841144,6.69281045751634
haar,wht,2,2,17,0.9999999999999998,1.0
haar,wht_mag,2,2,17,0.9800004652503727,1.8754578754578755
haar,wht_mag_phase,2,2,17,0.8038089489723619,15.515151515151516
haar,full,2,2,17,0.8490798442093017,12.337349397590362
haar,wht,3,3,17,0.9999999999999998,1.0
haar,wht_mag,3,3,17,0.9937080750531828,1.8156028368794326
haar,wht_mag_phase,3,3,17,0.9464865861055294,10.24
haar,full,3,3,17,0.959291299232126,8.752136752136753
haar,wht,4,4,17,0.9999999999999998,1.0
haar,wht_mag,4,4,17,0.9981747850450956,1.7534246575342465
haar,wht_mag_phase,4,4,17,0.985570627641987,7.529411764705882
haar,full,4,4,17,0.9891011080668681,6.69281045751634
haar,wht,2,2,18,1.0000000000000004,1.0
haar,wht_mag,2,2,18,0.9770847680653112,1.8754578754578755
haar,wht_mag_phase,2,2,18,0.782979275833173,15.515151515151516
haar,full,2,2,18,0.83348445765599,12.337349397590362
haar,wht,3,3,18,1.0000000000000004,1.0
haar,wht_mag,3,3,18,0.9934718004425191,1.8156028368794326
haar,wht_mag_phase,3,3,18,0.9405933892296688,10.24
haar,full,3,3,18,0.9551273158348149,8.752136752136753
haar,wht,4,4,18,1.0000000000000004,1.0
haar,wht_mag,4,4,18,0.9974912754412191,1.7534246575342465
haar,wht_mag_phase,4,4,18,0.9848207016296011,7.529411764705882
haar,full,4,4,18,0.9885744994475594,6.69281045751634
haar,wht,2,2,19,0.9999999999999996,1.0
haar,wht_mag,2,2,19,0.9785449674432373,1.8754578754578755
haar,wht_mag_phase,2,2,19,0.7917060947815401,15.515151515151516
haar,full,2,2,19,0.837147981382545,12.337349397590362
haar,wht,3,3,19,0.9999999999999996,1.0
haar,wht_mag,3,3,19,0.9937704739440705,1.8156028368794326
haar,wht_mag_phase,3,3,19,0.9445301774361966,10.24
haar,full,3,3,19,0.9571959375808251,8.752136752136753
haar,wht,4,4,19,0.9999999999999996,1.0
haar,wht_mag,4,4,19,0.9976535125116823,1.7534246575342465
haar,wht_mag_phase,4,4,19,0.9851112281492834,7.529411764705882
haar,full,4,4,19,0.9887833341203919,6.69281045751634
tfim,wht,2,2,0,1.0,1.0
tfim,wht_mag,2,2,0,0.7456333962140222,1.8754578754578755
tfim,wht_mag_phase,2,2,0,0.7456333962140218,15.515151515151516
tfim,full,2,2,0,0.8008724693910794,12.337349397590362
tfim,wht,3,3,0,1.0,1.0
tfim,wht_mag,3,3,0,0.7569578275994133,1.8156028368794326
tfim,wht_mag_phase,3,3,0,0.756957827599413,10.24
tfim,full,3,3,0,0.7988606657068594,8.752136752136753
tfim,wht,4,4,0,1.0,1.0
tfim,wht_mag,4,4,0,0.7574529108600176,1.7534246575342465
tfim,wht_mag_phase,4,4,0,0.7574529108600176,7.529411764705882
tfim,full,4,4,0,0.8106399829612055,6.69281045751634
tfim,wht,2,2,1,1.0,1.0
tfim,wht_mag,2,2,1,0.7456333962140224,1.8754578754578755
tfim,wht_mag_phase,2,2,1,0.745633396214022,15.515151515151516
tfim,full,2,2,1,0.7637672066193514,12.337349397590362
tfim,wht,3,3,1,1.0,1.0
tfim,wht_mag,3,3,1,0.7569578275994135,1.8156028368794326
tfim,wht_mag_phase,3,3,1,0.7569578275994135,10.24
tfim,full,3,3,1,0.7976281463244946,8.752136752136753
tfim,wht,4,4,1,1.0,1.0
tfim,wht_mag,4,4,1,0.7574449472276835,1.7534246575342465
tfim,wht_mag_phase,4,4,1,0.7574449472276837,7.529411764705882
