state_class,basis,threshold,sample_idx,k_star
mps,dct,0.99,13,858
mps,identity,0.5,13,121
mps,identity,0.9,13,502
mps,identity,0.99,13,837
mps,wht,0.5,14,150
mps,wht,0.9,14,543
mps,wht,0.99,14,860
mps,dct,0.5,14,190
mps,dct,0.9,14,611
mps,dct,0.99,14,886
mps,identity,0.5,14,160
mps,identity,0.9,14,579
mps,identity,0.99,14,878
mps,wht,0.5,15,131
mps,wht,0.9,15,528
mps,wht,0.99,15,852
mps,dct,0.5,15,151
mps,dct,0.9,15,556
mps,dct,0.99,15,864
mps,identity,0.5,15,150
mps,identity,0.9,15,536
mps,identity,0.99,15,854
mps,wht,0.5,16,156
mps,wht,0.9,16,556
mps,wht,0.99,16,860
mps,dct,0.5,16,167
mps,dct,0.9,16,581
mps,dct,0.99,16,876
mps,identity,0.5,16,150
mps,identity,0.9,16,558
mps,identity,0.99,16,863
mps,wht,0.5,17,75
mps,wht,0.9,17,414
mps,wht,0.99,17,795
mps,dct,0.5,17,120
mps,dct,0.9,17,506
mps,dct,0.99,17,849
mps,identity,0.5,17,150
mps,identity,0.9,17,550
mps,identity,0.99,17,857
mps,wht,0.5,18,130
mps,wht,0.9,18,545
mps,wht,0.99,18,864
mps,dct,0.5,18,147
mps,dct,0.9,18,557
mps,dct,0.99,18,867
mps,identity,0.5,18,127
mps,identity,0.9,18,526
mps,identity,0.99,18,853
mps,wht,0.5,19,136
mps,wht,0.9,19,539
mps,wht,0.99,19,862
mps,dct,0.5,19,154
mps,dct,0.9,19,551
mps,dct,0.99,19,863
mps,identity,0.5,19,110
mps,identity,0.9,19,497
mps,identity,0.99,19,841
heisenberg,wht,0.5,0,12
heisenberg,wht,0.9,0,56
heisenberg,wht,0.99,0,123
heisenberg,dct,0.5,0,19
heisenberg,dct,0.9,0,95
heisenberg,dct,0.99,0,199
heisenberg,identity,0.5,0,12
heisenberg,identity,0.9,0,56
heisenberg,identity,0.99,0,123
heisenberg,wht,0.5,1,12
heisenberg,wht,0.9,1,56
heisenberg,wht,0.99,1,123
heisenberg,dct,0.5,1,19
heisenberg,dct,0.9,1,95
heisenberg,dct,0.99,1,199
heisenberg,identity,0.5,1,12
heisenberg,identity,0.9,1,56
heisenberg,identity,0.99,1,123
heisenberg,wht,0.5,2,12
heisenberg,wht,0.9,2,56
heisenberg,wht,0.99,2,123
heisenberg,dct,0.5,2,19
heisenberg,dct,0.9,2,95
heisenberg,dct,0.99,2,199
heisenberg,identity,0.5,2,12
heisenberg,identity,0.9,2,56
heisenberg,identity,0.99,2,123
heisenberg,wht,0.5,3,12
heisenberg,wht,0.9,3,56
heisenberg,wht,0.99,3,123
heisenberg,dct,0.5,3,19
heisenberg,dct,0.9,3,95
heisenberg,dct,0.99,3,199
heisenberg,identity,0.5,3,12
heisenberg,identity,0.9,3,56
heisenberg,identity,0.99,3,123
heisenberg,wht,0.5,4,12
heisenberg,wht,0.9,4,56
heisenberg,wht,0.99,4,123
heisenberg,dct,0.5,4,19
heisenberg,dct,0.9,4,95
heisenberg,dct,0.99,4,199
heisenberg,identity,0.5,4,12
heisenberg,identity,0.9,4,56
heisenberg,identity,0.99,4,123
heisenberg,wht,0.5,5,12
heisenberg,wht,0.9,5,56
heisenberg,wht,0.99,5,123
heisenberg,dct,0.5,5,19
heisenberg,dct,0.9,5,95
heisenberg,dct,0.99,5,199
heisenberg,identity,0.5,5,12
heisenberg,identity,0.9,5,56
heisenberg,identity,0.99,5,123
heisenberg,wht,0.5,6,12
heisenberg,wht,0.9,6,56
heisenberg,wht,0.99,6,123
heisenberg,dct,0.5,6,19
heisenberg,dct,0.9,6,95
heisenberg,dct,0.99,6,199
heisenberg,identity,0.5,6,12
heisenberg,identity,0.9,6,56
heisenberg,identity,0.99,6,123
heisenberg,wht,0.5,7,12
heisenberg,wht,0.9,7,56
heisenberg,wht,0.99,7,123
heisenberg,dct,0.5,7,19
heisenberg,dct,0.9,7,95
heisenberg,dct,0.99,7,199
heisenberg,identity,0.5,7,12
heisenberg,identity,0.9,7,56
heisenberg,identity,0.99,7,123
heisenberg,wht,0.5,8,12
heisenberg,wht,0.9,8,56
heisenberg,wht,0.99,8,123
heisenberg,dct,0.5,8,19
heisenberg,dct,0.9,8,95
heisenberg,dct,0.99,8,199
heisenberg,identity,0.5,8,12
heisenberg,identity,0.9,8,56
heisenberg,identity,0.99,8,123
heisenberg,wht,0.5,9,12
heisenberg,wht,0.9,9,56
heisenberg,wht,0.99,9,123
heisenberg,dct,0.5,9,19
heisenberg,dct,0.9,9,95
heisenberg,dct,0.99,9,199
heisenberg,identity,0.5,9,12
heisenberg,identity,0.9,9,56
heisenberg,identity,0.99,9,123
heisenberg,wht,0.5,10,12
heisenberg,wht,0.9,10,56
heisenberg,wht,0.99,10,123
heisenberg,dct,0.5,10,19
heisenberg,dct,0.9,10,95
heisenberg,dct,0.99,10,199
heisenberg,identity,0.5,10,12
heisenberg,identity,0.9,10,56
heisenberg,identity,0.99,10,123
heisenberg,wht,0.5,11,12
heisenberg,wht,0.9,11,56
heisenberg,wht,0.99,11,123
heisenberg,dct,0.5,11,19
heisenberg,dct,0.9,11,95
heisenberg,dct,0.99,11,199
heisenberg,identity,0.5,11,12
heisenberg,identity,0.9,11,56
heisenberg,identity,0.99,11,123
heisenberg,wht,0.5,12,12
heisenberg,wht,0.9,12,56
heisenberg,wht,0.99,12,123
heisenberg,dct,0.5,12,19
heisenberg,dct,0.9,12,95
heisenberg,dct,0.99,12,199
heisenberg,identity,0.5,12,12
heisenberg,identity,0.9,12,56
heisenberg,identity,0.99,12,123
heisenberg,wht,0.5,13,12
heisenberg,wht,0.9,13,56
heisenberg,wht,0.99,13,123
heisenberg,dct,0.5,13,19
heisenberg,dct,0.9,13,95
heisenberg,dct,0.99,13,199
heisenberg,identity,0.5,13,12
heisenberg,identity,0.9,13,56
heisenberg,identity,0.99,13,123
heisenberg,wht,0.5,14,12
heisenberg,wht,0.9,14,56
heisenberg,wht,0.99,14,123
heisenberg,dct,0.5,14,19
heisenberg,dct,0.9,14,95
heisenberg,dct,0.99,14,199
heisenberg,identity,0.5,14,12
heisenberg,identity,0.9,14,56
heisenberg,identity,0.99,14,123
heisenberg,wht,0.5,15,12
heisenberg,wht,0.9,15,56
heisenberg,wht,0.99,15,123
