state_class,strategy,sample_idx,basis
mps_chi4,wht_only,10,wht
mps_chi4,kstar_90,10,identity
mps_chi4,kstar_50,10,identity
mps_chi4,topk_mass,10,identity
mps_chi4,quant_probe,10,dct
mps_chi4,hybrid,10,dct
mps_chi4,oracle,10,dct
mps_chi4,wht_only,11,wht
mps_chi4,kstar_90,11,identity
mps_chi4,kstar_50,11,identity
mps_chi4,topk_mass,11,wht
mps_chi4,quant_probe,11,dct
mps_chi4,hybrid,11,dct
mps_chi4,oracle,11,wht
mps_chi4,wht_only,12,wht
mps_chi4,kstar_90,12,wht
mps_chi4,kstar_50,12,wht
mps_chi4,topk_mass,12,wht
mps_chi4,quant_probe,12,wht
mps_chi4,hybrid,12,wht
mps_chi4,oracle,12,wht
mps_chi4,wht_only,13,wht
mps_chi4,kstar_90,13,wht
mps_chi4,kstar_50,13,wht
mps_chi4,topk_mass,13,wht
mps_chi4,quant_probe,13,identity
mps_chi4,hybrid,13,identity
mps_chi4,oracle,13,identity
mps_chi4,wht_only,14,wht
mps_chi4,kstar_90,14,wht
mps_chi4,kstar_50,14,wht
mps_chi4,topk_mass,14,identity
mps_chi4,quant_probe,14,identity
mps_chi4,hybrid,14,identity
mps_chi4,oracle,14,identity
mps_chi4,wht_only,15,wht
mps_chi4,kstar_90,15,wht
mps_chi4,kstar_50,15,wht
mps_chi4,topk_mass,15,wht
mps_chi4,quant_probe,15,identity
mps_chi4,hybrid,15,identity
mps_chi4,oracle,15,dct
mps_chi4,wht_only,16,wht
mps_chi4,kstar_90,16,wht
mps_chi4,kstar_50,16,wht
mps_chi4,topk_mass,16,wht
mps_chi4,quant_probe,16,dct
mps_chi4,hybrid,16,dct
mps_chi4,oracle,16,dct
mps_chi4,wht_only,17,wht
mps_chi4,kstar_90,17,wht
mps_chi4,kstar_50,17,wht
mps_chi4,topk_mass,17,wht
mps_chi4,quant_probe,17,wht
mps_chi4,hybrid,17,wht
mps_chi4,oracle,17,wht
mps_chi4,wht_only,18,wht
mps_chi4,kstar_90,18,identity
mps_chi4,kstar_50,18,identity
mps_chi4,topk_mass,18,identity
mps_chi4,quant_probe,18,dct
mps_chi4,hybrid,18,dct
mps_chi4,oracle,18,dct
mps_chi4,wht_only,19,wht
mps_chi4,kstar_90,19,wht
mps_chi4,kstar_50,19,wht
mps_chi4,topk_mass,19,identity
mps_chi4,quant_probe,19,identity
mps_chi4,hybrid,19,identity
mps_chi4,oracle,19,identity
clifford,wht_only,0,wht
clifford,kstar_90,0,wht
clifford,kstar_50,0,wht
clifford,topk_mass,0,dct
clifford,quant_probe,0,identity
clifford,hybrid,0,wht
clifford,oracle,0,wht
clifford,wht_only,1,wht
clifford,kstar_90,1,wht
clifford,kstar_50,1,dct
clifford,topk_mass,1,dct
clifford,quant_probe,1,identity
clifford,hybrid,1,wht
clifford,oracle,1,wht
clifford,wht_only,2,wht
clifford,kstar_90,2,dct
clifford,kstar_50,2,dct
clifford,topk_mass,2,dct
clifford,quant_probe,2,wht
clifford,hybrid,2,wht
clifford,oracle,2,wht
clifford,wht_only,3,wht
clifford,kstar_90,3,wht
clifford,kstar_50,3,wht
clifford,topk_mass,3,dct
clifford,quant_probe,3,wht
clifford,hybrid,3,wht
clifford,oracle,3,wht
clifford,wht_only,4,wht
clifford,kstar_90,4,identity
clifford,kstar_50,4,dct
clifford,topk_mass,4,dct
clifford,quant_probe,4,identity
clifford,hybrid,4,wht
clifford,oracle,4,identity
clifford,wht_only,5,wht
clifford,kstar_90,5,wht
clifford,kstar_50,5,dct
clifford,topk_mass,5,dct
clifford,quant_probe,5,identity
clifford,hybrid,5,wht
clifford,oracle,5,wht
clifford,wht_only,6,wht
clifford,kstar_90,6,wht
clifford,kstar_50,6,dct
clifford,topk_mass,6,dct
clifford,quant_probe,6,identity
clifford,hybrid,6,wht
clifford,oracle,6,wht
clifford,wht_only,7,wht
clifford,kstar_90,7,identity
clifford,kstar_50,7,dct
clifford,topk_mass,7,dct
clifford,quant_probe,7,wht
clifford,hybrid,7,wht
clifford,oracle,7,wht
clifford,wht_only,8,wht
clifford,kstar_90,8,dct
clifford,kstar_50,8,dct
clifford,topk_mass,8,dct
clifford,quant_probe,8,wht
clifford,hybrid,8,wht
clifford,oracle,8,wht
clifford,wht_only,9,wht
clifford,kstar_90,9,wht
clifford,kstar_50,9,dct
clifford,topk_mass,9,dct
